n,n_fight,n_concede,n_escalate,amount_at_risk,gross_recovered,net_pnl,recovery_rate,fight_win_rate,ops_cost,threshold
2000,730,1270,0,3609733.6999999997,1067883.77,374383.77,0.2958345015866406,0.6794520547945205,693500.0,0.54
2000,730,1270,0,3609733.6999999997,1067883.77,374383.77,0.2958345015866406,0.6794520547945205,693500.0,0.55
2000,644,1356,0,3609733.6999999997,958092.6300000001,346292.63,0.26541919975980505,0.6832298136645962,611800.0,0.56
2000,644,1356,0,3609733.6999999997,958092.6300000001,346292.63,0.26541919975980505,0.6832298136645962,611800.0,0.57
2000,644,1356,0,3609733.6999999997,958092.6300000001,346292.63,0.26541919975980505,0.6832298136645962,611800.0,0.58
2000,644,1356,0,3609733.6999999997,958092.6300000001,346292.63,0.26541919975980505,0.6832298136645962,611800.0,0.59
2000,644,1356,0,3609733.6999999997,958092.6300000001,346292.63,0.26541919975980505,0.6832298136645962,611800.0,0.6
2000,644,1356,0,3609733.6999999997,958092.6300000001,346292.63,0.26541919975980505,0.6832298136645962,611800.0,0.61
2000,644,1356,0,3609733.6999999997,958092.6300000001,346292.63,0.26541919975980505,0.6832298136645962,611800.0,0.62
2000,622,1378,0,3609733.6999999997,937777.8600000001,346877.86000000004,0.25979142450314274,0.6913183279742765,590900.0,0.63
2000,622,1378,0,3609733.6999999997,937777.8600000001,346877.86000000004,0.25979142450314274,0.6913183279742765,590900.0,0.64
2000,622,1378,0,3609733.6999999997,937777.8600000001,346877.86000000004,0.25979142450314274,0.6913183279742765,590900.0,0.65
2000,622,1378,0,3609733.6999999997,937777.8600000001,346877.86000000004,0.25979142450314274,0.6913183279742765,590900.0,0.66
2000,622,1378,0,3609733.6999999997,937777.8600000001,346877.86000000004,0.25979142450314274,0.6913183279742765,590900.0,0.67
2000,539,1461,0,3609733.6999999997,826745.39,314695.39,0.2290322385831398,0.7012987012987013,512050.0,0.68
2000,538,1462,0,3609733.6999999997,826745.39,315645.39,0.2290322385831398,0.7026022304832714,511100.0,0.69
2000,413,1587,0,3609733.6999999997,647247.99,254897.99,0.17930629896604286,0.6997578692493946,392350.0,0.7
2000,307,1693,0,3609733.6999999997,514374.47,222724.47,0.14249651435506172,0.7166123778501629,291650.0,0.71
2000,307,1693,0,3609733.6999999997,514374.47,222724.47,0.14249651435506172,0.7166123778501629,291650.0,0.72
2000,307,1693,0,3609733.6999999997,514374.47,222724.47,0.14249651435506172,0.7166123778501629,291650.0,0.73
2000,306,1694,0,3609733.6999999997,513409.70999999996,222709.71000000002,0.14222924810215223,0.7156862745098039,290700.0,0.74
2000,305,1695,0,3609733.6999999997,508778.99,219028.99,0.14094640554786633,0.7147540983606557,289750.0,0.75
2000,282,1718,0,3609733.6999999997,460154.3,192254.3,0.12747596865663527,0.7092198581560284,267900.0,0.76
2000,77,1923,0,3609733.6999999997,150742.47999999998,77592.48000000001,0.041760000190595774,0.7402597402597403,73150.0,0.77
2000,77,1923,0,3609733.6999999997,150742.47999999998,77592.48000000001,0.041760000190595774,0.7402597402597403,73150.0,0.78
2000,77,1923,0,3609733.6999999997,150742.47999999998,77592.48000000001,0.041760000190595774,0.7402597402597403,73150.0,0.79
2000,77,1923,0,3609733.6999999997,150742.47999999998,77592.48000000001,0.041760000190595774,0.7402597402597403,73150.0,0.8
2000,77,1923,0,3609733.6999999997,150742.47999999998,77592.48000000001,0.041760000190595774,0.7402597402597403,73150.0,0.81
2000,69,1931,0,3609733.6999999997,138291.9,72741.9,0.03831083162727489,0.7391304347826086,65550.0,0.82
2000,68,1932,0,3609733.6999999997,136391.66,71791.66,0.03778441052313638,0.7352941176470589,64600.0,0.83
2000,68,1932,0,3609733.6999999997,136391.66,71791.66,0.03778441052313638,0.7352941176470589,64600.0,0.84
2000,68,1932,0,3609733.6999999997,136391.66,71791.66,0.03778441052313638,0.7352941176470589,64600.0,0.85
2000,1,1999,0,3609733.6999999997,927.11,-22.889999999999986,0.0002568361206257404,1.0,950.0,0.86
2000,1,1999,0,3609733.6999999997,927.11,-22.889999999999986,0.0002568361206257404,1.0,950.0,0.87
2000,1,1999,0,3609733.6999999997,927.11,-22.889999999999986,0.0002568361206257404,1.0,950.0,0.88
2000,1,1999,0,3609733.6999999997,927.11,-22.889999999999986,0.0002568361206257404,1.0,950.0,0.89
2000,1,1999,0,3609733.6999999997,927.11,-22.889999999999986,0.0002568361206257404,1.0,950.0,0.9
2000,1,1999,0,3609733.6999999997,927.11,-22.889999999999986,0.0002568361206257404,1.0,950.0,0.91
2000,1,1999,0,3609733.6999999997,927.11,-22.889999999999986,0.0002568361206257404,1.0,950.0,0.92
2000,1,1999,0,3609733.6999999997,927.11,-22.889999999999986,0.0002568361206257404,1.0,950.0,0.93
2000,1,1999,0,3609733.6999999997,927.11,-22.889999999999986,0.0002568361206257404,1.0,950.0,0.94
2000,1,1999,0,3609733.6999999997,927.11,-22.889999999999986,0.0002568361206257404,1.0,950.0,0.95
2000,1,1999,0,3609733.6999999997,927.11,-22.889999999999986,0.0002568361206257404,1.0,950.0,0.96
2000,0,2000,0,3609733.6999999997,0.0,0.0,0.0,0.0,0.0,0.97
2000,0,2000,0,3609733.6999999997,0.0,0.0,0.0,0.0,0.0,0.98
